""|"label"|"predicted"|"60"
"110"|"statement"|"statement"|"While here with the girls, it took us 10mins to try and get the attention of the waiter just to order our drinks - which in all honesty is not great when you have about 5 - 6 waiters around."
"111"|"statement"|"statement"|"Me and my friend are not experts when it comes to choosing sake, so we described the taste profile and our price range to the staff and they will pick something suitable for you."
"112"|"statement"|"statement"|"Sometimes it's just what you need after a long haul flight."
"113"|"statement"|"statement"|"However, what is truly excellent is their wine service from their in house sommelier (yes, this is for you wine aficionados who need your glasses changed depending whether you have a big burgundy red, or a more subtle Pinot."
"114"|"statement"|"statement"|"Firstly, we were waiting for S who was parking so i didn't want to order everything at one go."
"115"|"statement"|"statement"|"As per its name, one can pretty much guess what they serve... they serve low carb burritos-sized sushi rolls."
"116"|"statement"|"statement"|"You could hear the crunch when you bit into the tasty vegetables."
"117"|"statement"|"statement"|"One of the best when it comes to the famed bak kut teh dish here in Singapore."
"118"|"statement"|"statement"|"The dishes there are not oily so it is suitable for the elderly who don't want to eat oily food."
"119"|"statement"|"statement"|"The other staff who was handling the cashier was also courteous and asked me whether I would need plastic spoons to go along with my desserts."
"120"|"statement"|"statement"|"You pay when you return to get your table and food."
"121"|"question"|"question"|"To that, I say that Singapore is a multi-cultural place with four predominant languages (English, Malaysia, Chinese, and Tamil), what exactly do people want, extended explanations in four languages under every single artifact and picture and portrait?"
"122"|"statement"|"statement"|"No longer is the smiling soup-ladling man with the short hair asking me 'here' or 'takeway' and giving me an extra boiled date, no longer is the nice auntie giving me my brown rice and asking how I am, and no longer do I see the uncle who clears the plates at the end of the meal."
"123"|"statement"|"statement"|"$40 for a three course set lunch may seem like a good deal, except when you consider that the food is mediocre."
"124"|"statement"|"statement"|"It was like if you were born to Japanese parents, and they packed it in your lunch box and you feel euphoric when you bite into it on a cold winter day."
"125"|"statement"|"statement"|"Guess we arrived at 9 when they wanted to start packing up so was rushed through the whole meal."
"126"|"statement"|"statement"|"The reason why we ended up in this restaurant is because they stated that there is a 30% discount for standard chartered card member."
"127"|"question"|"question"|"what type of food do they serve? "
"128"|"statement"|"statement"|"I'm not much of a chestnut fan so when I first discovered that there was a chestnut in the heart of this, I pretty much passed on the idea."
"129"|"statement"|"statement"|"Those who cannot do without their daily meat intake can also add beef or pork to their Kake and Bukake Udon for an extra $4-$6."
"130"|"statement"|"statement"|"Burratina is kind of like a ball of cheese where the middle is ricotta and the outside layer is intact mozzarella."
"131"|"statement"|"statement"|"Even after living a year here, and having been to many many restaurants, SPRMRKT items are pricy for what they offer."
"132"|"statement"|"statement"|"The staff seems confused, like the place just opened, and like even they aren't really sure what should go on those tortillas next."
"133"|"statement"|"statement"|"I've been told by a taxi uncle that the curry puffs are why people drive halfway across the island to Selera, but personally they are a bit too spicy for me."
"134"|"statement"|"statement"|"For me, I loved how I can experience multiple emotions when I was walking towards the River just outside of the Esplanade."
"135"|"statement"|"statement"|"I don't know when I became such a snob."
"136"|"statement"|"statement"|"One of the best times to go for walks in Singapore are during the mornings when it's pleasantly cool!"
"137"|"statement"|"statement"|"Surprisingly, there was one stall open at around 10am when we arrived and therefore that was the one we got to try."
"138"|"statement"|"statement"|"We were there when they opened but we still had to wait more than an hour."
"139"|"statement"|"statement"|"The service was prompt, almost too prompt, when the waitress asked for our order right after being seated."
"140"|"statement"|"statement"|"my two most-visited buffets in singapore is this one, and melt at the mandarin oriental - which is posher, more expensive, and more extensive; so it boils down to what you require."
"141"|"statement"|"statement"|"Quite pricey for tea ... and when I was at the Ion Orchard branch, they did not refill my tea pot with hot water though my girlfriend said they did so at the Taka branch for her."
"142"|"statement"|"statement"|"Prices are about double what you'd pay for a meal at one of the traditional stalls in the Marina Food House but convenience is king."
"143"|"statement"|"statement"|"The highlight of the meal was what came next."
"144"|"question"|"question"|"Take the first three letters of each word and what do you get?"
"145"|"statement"|"statement"|"They also have a happy hour, for those who want to eat out on the cheap - always a bonus in my book!"
"146"|"statement"|"statement"|"No wait if you go right when they open, at 12pm for lunch and 6pm for dinner."
"147"|"question"|"question"|"It's definitely very pricey but what do you expect from a dempsey joint?"
"148"|"statement"|"statement"|"Honestly I do not kid when I say everything they whip up is good."
"149"|"statement"|"statement"|"We were not too far away, when I decided to open my app and see what was around me."
"150"|"statement"|"statement"|"Where I think they go wrong is by having a menu trying to be everything, when really they should stick to the one thing they do well, and improve it until it is amazing..."
"151"|"statement"|"statement"|"Also, when I finished my meal and said I would pass on dessert, they brought my check and a small plate plat of mini desserts from the buffet."
"152"|"statement"|"statement"|"I think the reason why it is so famous is their absurdly fragrant rice!"
"153"|"statement"|"statement"|"We dined at Cherry Garden one evening where I was gob-smacked that I could enjoy beautiful Cantonese dishes made especially gluten free."
"154"|"statement"|"statement"|"We did not think of asking the price as it was a small fish and honestly just trusted the guy (we've dined at exclusive places where something like this has never happened to us)."
"155"|"statement"|"statement"|"This reminded me why I hardly eat Japanese food in Singapore."
"156"|"statement"|"statement"|"We were served by Chef Tomoo who also informed us that Chef Aoki (of Aoki) and Chef of Shinji has also recently dined here."
"157"|"statement"|"statement"|"The tempura selection is rather limited compared to what i've seen in Japan."
"158"|"statement"|"statement"|"So don't be surprised if a party of two who is behind you (party of 4 or more) gets seated first because only a 2-seater is available."
"159"|"statement"|"statement"|"But it's the perfect place for special occasions with elders who will definitely appreciate it."
"160"|"statement"|"statement"|"The chocolate ice cream was particularly creamy and not very cocoa rich, which was too much when faced with a bowl of hazelnut cream - it was left behind."
"161"|"statement"|"statement"|"As an American who was told that Singapore doesn't have very good Vietnamese food, the pho here put the best pho in Houston to shame!"
"162"|"statement"|"statement"|"Also, when you open the box in the morning, you'll find that the eggy part has an earthquake like split down the middle, not sure why."
"163"|"statement"|"statement"|"We had a bit of everything when we went to celebrate a friend's return from abroad, and while we liked it enough -- we certainly didn't dislike anything -- the hefty bill was a tad detached from the reality of what the food really was."
"164"|"statement"|"statement"|"For those who love this place, good news is, they are going to undergo a little reno in Feb 14 and reopen with a even more hearty menu."
"165"|"question"|"question"|"Ok, maybe so do 90% of their customers but who cares?"
"166"|"rhetoric"|"question"|"dont you think so? "
"167"|"statement"|"statement"|"And the place was fairly empty when we were there, definitely not full house with a line waiting outside."
"168"|"statement"|"statement"|"Just to highlight a few items :  1) Siew Mai (pork dumpling) - F - it looked unappetizing, there was no flavor to it, the meat tasted weird  2) Cheong Fun with BBQ pork - F - zero flavor, and the BBQ pork tasted weird too  3) Egg tart - F - it was fresh from the oven, but the crust too dry and the custard part has no taste  Another female staff was so rude when my relative asked if there was any egg tart."
"169"|"statement"|"statement"|"One of the reasons why I keep going back is for the quality of the food and the seasonal offerings that they'll have almost every other week."
"170"|"statement"|"statement"|"Fairly packed when I arrived."
"171"|"statement"|"statement"|"Come to think of it I'm not sure why I keep coming as it makes it hard to talk business."
"172"|"statement"|"statement"|"While the batter is sufficiently light and not overly greasy, I always felt it's a waste of the ingredients when they are deep fried."
"173"|"statement"|"statement"|"While I do believe this place ranges on the pricier side, the great staff, proximity, and yummy pizzas is what makes me a regular patron."
"174"|"statement"|"statement"|"The beef was tasty but when you order it with the foie, they GIVE SO LITTLE!!!"
"175"|"statement"|"statement"|"american food is not as flavourful as chinese "
"176"|"statement"|"statement"|"If you want the corn tortilla, you have to order the tostada where the corn tortilla has been fried and crispy."
"177"|"statement"|"statement"|"As I stood in the queue, waiting and going through the menu, I realized the biggest issue with Muchachos, at a first glance, is that if you're not familiar with Mexican food, you would have no idea what to order."
"178"|"statement"|"statement"|"Firstly, if you are like me who tends to overlook some fine details, the restaurant is located on the 5th floor of Mandarin Orchard, not the Mandarin Oriental near the MBS."
"179"|"statement"|"statement"|"I've paid more than this for non-Japanese food but I've never been to one of these super amazeballs $400 a head sushi joints like Shini by Kanesaka or Tetsuya's or what have you."
"180"|"statement"|"statement"|"It's very quiet when I go early in the mornings on weekdays and I enjoy the serenity and space."
"181"|"statement"|"statement"|"I think that's completely ridiculous (by which I mean stupendously good) pricing, and it certainly made my parents happy when they got the bill."
"182"|"statement"|"statement"|"In the end, the bill came up to $24 which is expensive compared to what you get elsewhere at this type of ambience."
"183"|"statement"|"statement"|"Healthy and tasty, what could be better!"
"184"|"statement"|"statement"|"I think they have a menu - but I always just tell the waiter what I feel like having, Something not too sweet, refreshing and strong, and they'll whip up something for you."
"185"|"statement"|"statement"|"I'm cool to spend money when deserved...and this ain't it."
"186"|"statement"|"statement"|"but I've figured out what she means by not too strong."
"187"|"statement"|"statement"|"Not sure what it's like for lunch, but for dinner the ordering process was as follows: 1) Stand in queue and wait to be seated."
"188"|"statement"|"statement"|"There is much buzz around this enduringly popular family-friendly Italian restaurant as the food is refreshingly simple yet decently priced, especially when every main course ordered include a self-plated salad and free flow of Italian bread."
"189"|"statement"|"statement"|"Wait seems to depend on when you go."
"190"|"statement"|"statement"|"People who are expect in Bak Kut Teh will know to order the prime ribs which will of cause cost abit more than the usual."
"191"|"statement"|"statement"|"The crowd was picking up by that time and I was impressed when our food came in record time."
"192"|"statement"|"statement"|"they serve you what you like, how you like it but all within the reasonable boundaries in line with their tradition."
"193"|"statement"|"statement"|"Surprisingly empty when we visited on a Sunday afternoon at 12."
"194"|"statement"|"statement"|"If you're looking for a little conversation, sit outside as the inside can get quite noisy when the bands start to play."
"195"|"statement"|"statement"|"A lunch and dinner menu will be available soon, so it'll be interesting to see what they are offering then."
"196"|"statement"|"statement"|"Later, when I got up to ask for a cup of hot water and a napkin, a staff promptly came over to help, and brought them to my table!"
"197"|"statement"|"statement"|"And order more of what you like."
"198"|"statement"|"statement"|"The cake was served when we asked for the bill."
"199"|"statement"|"statement"|"I walked up at 12:30 on a weekday when everyone and their mom was out for lunch and I was seated right away and attended to faithfully the entire time I was there."
"200"|"statement"|"statement"|"At the corner of Burlington Square, this was a bit of a hidden gem when I found it."
"201"|"rhetoric"|"question"|"Similarly, when I see all the favourable ratings, the needle of my inner food-o-meter will swing violently leading me to burst, NICE MEH?"
"202"|"statement"|"statement"|"After the two appetizers, we basically told him to just get us what he likes most from the menu for the rest of our meal and we ended up leaving very happy."
"203"|"statement"|"statement"|"Maybe I need to go with a veteran to see what the famous dishes are."
"204"|"statement"|"statement"|"As a social enterprise, I am very impressed with the level of service delivered by servers who are challenged in different special ways."
"205"|"statement"|"statement"|"Woo...I'm not sure what hood Spr.Mkrt came from, but that ain't how it should be done in the service industry!"
"206"|"statement"|"statement"|"The coffee was average - not comparable to what we just had at Liberty coffee, it is your run-of-the-mill latte."
"207"|"rhetoric"|"rhetoric"|"That doesn't come across well to customers, why not just print new menus??"
"208"|"statement"|"statement"|"We always visit Yhangtai Palace when we stay at Intercontinental Hotel in Bugis, Singapore."
"209"|"statement"|"statement"|"You get 4 kinds of chutneys no matter what you order."
"210"|"statement"|"statement"|"I adore what they did with their new interior!"
"211"|"question"|"question"|"Oh my gawd, where do I even start?"
"212"|"statement"|"statement"|"Little did I know she frequented this restaurant when I was a way on business trip or in School."
"213"|"statement"|"statement"|"Our waiter gave us a whopping 2 seconds before asking what we wanted."
"214"|"statement"|"statement"|"Personally, from what I see, those wings were overpriced."
"215"|"statement"|"statement"|"Be prepared to be assertive, don't expect to be looked after, don't be afraid to ask twice or more for what you need!"
"216"|"statement"|"statement"|"Still, I get the sense that there aren't many vegetarians in Singapore, that's why I think the restaurant was on the emptier side even though the restaurant is nice and spacious, especially for a restaurant in Chinatown!"
"217"|"statement"|"statement"|"My favorite Japanese restaurant when it comes to shabu shabu, Zen Japanese offers high quality ingredients at reasonable prices."
"218"|"statement"|"statement"|"PARTING THOUGHT: they should install a THW live line cam, so you can plan when to go!"
"219"|"statement"|"statement"|"They also have free flow of water on each table which is a very good thing for someone like me who needs to drink a lot of water with her food."
"220"|"statement"|"statement"|"Service: The girl who worked there was really nice and shared a lot about the cats at the cafe."
"221"|"statement"|"statement"|"Unlike Koo Kee where you can't pick the yong tau foo in your bowl, you pick your main dish at Gao Ji for $3.90-5.90 each and can add on a side of brown rice, seaweed soup and vegetables for $1.90."
"222"|"statement"|"statement"|"Their greed curry and fried rice are acceptable, still edible..   What killed them was the service."
"223"|"statement"|"statement"|"The service was fast and English Premier League football was on, so I was able to catch up what I missed from the day before."
"224"|"statement"|"statement"|"Prices here are very reasonable for what they are."
"225"|"statement"|"statement"|"The food is not bad but a tad bit on the pricey side so I do only eat here when my hunger coincides with an intense need for coffee."
"226"|"statement"|"statement"|"The place was pretty packed when we went at 1300hrs for lunch, and because we didn't make reservations, we were asked to come back at 1400hrs (SO, DO CALL IN BEFORE DROPPING BY!)."
"227"|"statement"|"statement"|"A worthy mention is the drinks counter, separate from the food counters, where you can purchase fresh fruit juice, so fresh it's prepared right in front of you."
"228"|"statement"|"statement"|"It doesn't hurt that this place is two minutes away from where I live."
"229"|"statement"|"statement"|"The set up is simple, there is a huge counter where you order and get your food and drinks and then a few tables and chairs against the wall and filling up the rest of the limited space."
"230"|"statement"|"statement"|"Come to think about it, it sounds a bit twisted that we have to dip chicken meat into chicken egg yolk...... anyway, back to reviewing... this dish alone may be why I chose to gave this establishment 4 stars.. because this dish is not only unique, it's DELICIOUS."
"231"|"statement"|"statement"|"Run by a group of aunties who are always cheerful and efficient."
"232"|"statement"|"statement"|"Please try the one at Ion food republic Scotts Beef Noodles where the gravy is full of flavor and the meat cook to a medium rare."
"233"|"statement"|"statement"|"Didnt know what I was eating but all goiod."
"234"|"statement"|"statement"|"The food selection here is quite limited, but what I want to highlight is the hygiene."
"235"|"statement"|"statement"|"Service is quick and sincere since it seems to be run by a couple who actually owns the place, and parking is cheap too!"
"236"|"statement"|"statement"|"I met a dear Friend who recently moved to Singapore for a glass of wine at Wine Connection."
"237"|"statement"|"statement"|"This location is tucked away at the end of Ann Siang Rd on the left, with only a little sign signaling you've come to the right place when approached from that direction."
"238"|"statement"|"statement"|"and its really helpful where they have valet parking ."
"239"|"statement"|"statement"|"As I was getting hungry to, why not see what is so special with pricey coffee."
"240"|"statement"|"statement"|"I like when people give me free stuff."
"241"|"statement"|"statement"|"Fantastic products from all around the world, a great selection of beef, mainly from Australia and New Zealand, they also sell dry aged beef, which I can't think of anyone else in Singapore who is selling this incredible product, worth every cent!!"
"242"|"statement"|"statement"|"This is especially so when you need nice food on Mondays, where a lot of stalls tend not to be open."
"243"|"rhetoric"|"rhetoric"|"So why the f**k do half of my group consistently have to wait sometimes 10-15 mins for their food to come out after the first plates are laid on our table (getting cold)??"
"244"|"statement"|"statement"|"My favorites so far are the Cow King and the Bird, and what I really love about this place is that you can choose whatever type of bagel you want for the bagelwiches."
"245"|"statement"|"statement"|"We initially thought that S$20/piece was a little inflated, but what came out on the plate looked like lobsters."
